model,best_params,cv_r2,test_r2,test_mae,test_mse
RandomForest,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10}",0.9996142196088526,0.9996131859403865,2.134467766568884,10.691814677270614
XGBoost,"{'subsample': 0.8, 'n_estimators': 50, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.99950704901098,0.9994916819002985,2.4204422901716596,14.05027243461998
