Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Currency
2025-06-05 00:00:00+09:00,,,,,23266027,0.0,0.0,005930.KS,KS->USD
2025-06-09 00:00:00+09:00,,,,,19609659,0.0,0.0,005930.KS,KS->USD
2025-06-10 00:00:00+09:00,,,,,15305760,0.0,0.0,005930.KS,KS->USD
2025-06-11 00:00:00+09:00,,,,,13610734,0.0,0.0,005930.KS,KS->USD
2025-06-12 00:00:00+09:00,,,,,17755115,0.0,0.0,005930.KS,KS->USD
2025-06-13 00:00:00+09:00,,,,,20705979,0.0,0.0,005930.KS,KS->USD
2025-06-16 00:00:00+09:00,,,,,22200872,0.0,0.0,005930.KS,KS->USD
2025-06-17 00:00:00+09:00,,,,,28637003,0.0,0.0,005930.KS,KS->USD
2025-06-18 00:00:00+09:00,,,,,17620705,0.0,0.0,005930.KS,KS->USD
2025-06-19 00:00:00+09:00,,,,,16876278,0.0,0.0,005930.KS,KS->USD
2025-06-20 00:00:00+09:00,,,,,18072251,0.0,0.0,005930.KS,KS->USD
2025-06-23 00:00:00+09:00,,,,,16551694,0.0,0.0,005930.KS,KS->USD
2025-06-24 00:00:00+09:00,,,,,23737899,0.0,0.0,005930.KS,KS->USD
2025-06-25 00:00:00+09:00,,,,,23933612,0.0,0.0,005930.KS,KS->USD
2025-06-26 00:00:00+09:00,,,,,19402300,0.0,0.0,005930.KS,KS->USD
2025-06-27 00:00:00+09:00,,,,,17340470,367.0,0.0,005930.KS,KS->USD
2025-06-30 00:00:00+09:00,,,,,17110294,0.0,0.0,005930.KS,KS->USD
2025-07-01 00:00:00+09:00,,,,,13650991,0.0,0.0,005930.KS,KS->USD
2025-07-02 00:00:00+09:00,,,,,15047951,0.0,0.0,005930.KS,KS->USD
2025-07-03 00:00:00+09:00,,,,,32040639,0.0,0.0,005930.KS,KS->USD
2025-07-04 00:00:00+09:00,,,,,23748959,0.0,0.0,005930.KS,KS->USD
2025-07-07 00:00:00+09:00,,,,,17164708,0.0,0.0,005930.KS,KS->USD
2025-07-08 00:00:00+09:00,,,,,20213724,0.0,0.0,005930.KS,KS->USD
2025-07-09 00:00:00+09:00,,,,,17533415,0.0,0.0,005930.KS,KS->USD
2025-07-10 00:00:00+09:00,,,,,14768473,0.0,0.0,005930.KS,KS->USD
2025-07-11 00:00:00+09:00,,,,,19140650,0.0,0.0,005930.KS,KS->USD
2025-07-14 00:00:00+09:00,,,,,13563846,0.0,0.0,005930.KS,KS->USD
2025-07-15 00:00:00+09:00,,,,,18442202,0.0,0.0,005930.KS,KS->USD
2025-07-16 00:00:00+09:00,,,,,23042660,0.0,0.0,005930.KS,KS->USD
2025-07-17 00:00:00+09:00,,,,,39448683,0.0,0.0,005930.KS,KS->USD
2025-07-18 00:00:00+09:00,,,,,23951531,0.0,0.0,005930.KS,KS->USD
2025-07-21 00:00:00+09:00,,,,,17723148,0.0,0.0,005930.KS,KS->USD
2025-07-22 00:00:00+09:00,,,,,20829006,0.0,0.0,005930.KS,KS->USD
2025-07-23 00:00:00+09:00,,,,,15687058,0.0,0.0,005930.KS,KS->USD
2025-07-24 00:00:00+09:00,,,,,12660193,0.0,0.0,005930.KS,KS->USD
2025-07-25 00:00:00+09:00,,,,,8080910,0.0,0.0,005930.KS,KS->USD
2025-07-28 00:00:00+09:00,,,,,35332500,0.0,0.0,005930.KS,KS->USD
2025-07-29 00:00:00+09:00,,,,,28190940,0.0,0.0,005930.KS,KS->USD
2025-07-30 00:00:00+09:00,,,,,34761444,0.0,0.0,005930.KS,KS->USD
2025-07-31 00:00:00+09:00,,,,,26568072,0.0,0.0,005930.KS,KS->USD
2025-08-01 00:00:00+09:00,,,,,24038534,0.0,0.0,005930.KS,KS->USD
2025-08-04 00:00:00+09:00,,,,,14780072,0.0,0.0,005930.KS,KS->USD
2025-08-05 00:00:00+09:00,,,,,14392903,0.0,0.0,005930.KS,KS->USD
2025-08-06 00:00:00+09:00,,,,,12542415,0.0,0.0,005930.KS,KS->USD
2025-08-07 00:00:00+09:00,,,,,15008213,0.0,0.0,005930.KS,KS->USD
2025-08-08 00:00:00+09:00,,,,,22241128,0.0,0.0,005930.KS,KS->USD
2025-08-11 00:00:00+09:00,,,,,11354253,0.0,0.0,005930.KS,KS->USD
2025-08-12 00:00:00+09:00,,,,,15797656,0.0,0.0,005930.KS,KS->USD
2025-08-13 00:00:00+09:00,,,,,12305742,0.0,0.0,005930.KS,KS->USD
2025-08-14 00:00:00+09:00,,,,,11946122,0.0,0.0,005930.KS,KS->USD
2025-08-18 00:00:00+09:00,,,,,13595591,0.0,0.0,005930.KS,KS->USD
2025-08-19 00:00:00+09:00,,,,,10533082,0.0,0.0,005930.KS,KS->USD
2025-08-20 00:00:00+09:00,,,,,17445516,0.0,0.0,005930.KS,KS->USD
2025-08-21 00:00:00+09:00,,,,,18843833,0.0,0.0,005930.KS,KS->USD
2025-08-22 00:00:00+09:00,,,,,9277432,0.0,0.0,005930.KS,KS->USD
2025-08-25 00:00:00+09:00,,,,,10345178,0.0,0.0,005930.KS,KS->USD
2025-08-26 00:00:00+09:00,,,,,14712519,0.0,0.0,005930.KS,KS->USD
2025-08-27 00:00:00+09:00,,,,,10523405,0.0,0.0,005930.KS,KS->USD
2025-08-28 00:00:00+09:00,,,,,11578024,0.0,0.0,005930.KS,KS->USD
2025-08-29 00:00:00+09:00,,,,,11682267,0.0,0.0,005930.KS,KS->USD
2025-09-01 00:00:00+09:00,,,,,12002343,0.0,0.0,005930.KS,KS->USD
2025-09-02 00:00:00+09:00,,,,,10604028,0.0,0.0,005930.KS,KS->USD
2025-09-03 00:00:00+09:00,,,,,10283009,0.0,0.0,005930.KS,KS->USD
2025-09-04 00:00:00+09:00,,,,,12284414,0.0,0.0,005930.KS,KS->USD
2025-09-05 00:00:00+09:00,,,,,11526724,0.0,0.0,005930.KS,KS->USD
2025-09-08 00:00:00+09:00,,,,,9263135,0.0,0.0,005930.KS,KS->USD
2025-09-09 00:00:00+09:00,,,,,14870245,0.0,0.0,005930.KS,KS->USD
2025-09-10 00:00:00+09:00,,,,,21928565,0.0,0.0,005930.KS,KS->USD
2025-09-11 00:00:00+09:00,,,,,20793501,0.0,0.0,005930.KS,KS->USD
2025-09-12 00:00:00+09:00,,,,,28219678,0.0,0.0,005930.KS,KS->USD
2025-09-15 00:00:00+09:00,,,,,19908805,0.0,0.0,005930.KS,KS->USD
2025-09-16 00:00:00+09:00,,,,,28218265,0.0,0.0,005930.KS,KS->USD
2025-09-17 00:00:00+09:00,,,,,20856317,0.0,0.0,005930.KS,KS->USD
2025-09-18 00:00:00+09:00,,,,,25619035,0.0,0.0,005930.KS,KS->USD
2025-09-22 00:00:00+09:00,,,,,27529656,0.0,0.0,005930.KS,KS->USD
2025-09-23 00:00:00+09:00,,,,,23610263,0.0,0.0,005930.KS,KS->USD
2025-09-24 00:00:00+09:00,,,,,18300997,0.0,0.0,005930.KS,KS->USD
2025-09-25 00:00:00+09:00,,,,,19665151,0.0,0.0,005930.KS,KS->USD
2025-09-26 00:00:00+09:00,,,,,24071193,0.0,0.0,005930.KS,KS->USD
2025-09-29 00:00:00+09:00,,,,,13069094,370.0,0.0,005930.KS,KS->USD
2025-09-30 00:00:00+09:00,,,,,16319061,0.0,0.0,005930.KS,KS->USD
2025-10-01 00:00:00+09:00,,,,,22039361,0.0,0.0,005930.KS,KS->USD
2025-10-02 00:00:00+09:00,,,,,49883028,0.0,0.0,005930.KS,KS->USD
2025-10-10 00:00:00+09:00,,,,,35269748,0.0,0.0,005930.KS,KS->USD
2025-10-13 00:00:00+09:00,,,,,23883308,0.0,0.0,005930.KS,KS->USD
2025-10-14 00:00:00+09:00,,,,,35545235,0.0,0.0,005930.KS,KS->USD
2025-10-15 00:00:00+09:00,,,,,21050111,0.0,0.0,005930.KS,KS->USD
2025-10-16 00:00:00+09:00,,,,,28141060,0.0,0.0,005930.KS,KS->USD
2025-10-17 00:00:00+09:00,,,,,22730809,0.0,0.0,005930.KS,KS->USD
2025-10-20 00:00:00+09:00,,,,,17589756,0.0,0.0,005930.KS,KS->USD
2025-10-21 00:00:00+09:00,,,,,22803830,0.0,0.0,005930.KS,KS->USD
2025-10-22 00:00:00+09:00,,,,,15937611,0.0,0.0,005930.KS,KS->USD
2025-10-23 00:00:00+09:00,,,,,18488581,0.0,0.0,005930.KS,KS->USD
2025-10-24 00:00:00+09:00,,,,,18801925,0.0,0.0,005930.KS,KS->USD
2025-10-27 00:00:00+09:00,,,,,22169970,0.0,0.0,005930.KS,KS->USD
2025-10-28 00:00:00+09:00,,,,,20002282,0.0,0.0,005930.KS,KS->USD
2025-10-29 00:00:00+09:00,,,,,20899788,0.0,0.0,005930.KS,KS->USD
2025-10-30 00:00:00+09:00,,,,,34570017,0.0,0.0,005930.KS,KS->USD
2025-10-31 00:00:00+09:00,,,,,54824564,0.0,0.0,005930.KS,KS->USD
2025-11-03 00:00:00+09:00,,,,,30110066,0.0,0.0,005930.KS,KS->USD
2025-11-04 00:00:00+09:00,,,,,30450281,0.0,0.0,005930.KS,KS->USD
2025-11-05 00:00:00+09:00,,,,,44843020,0.0,0.0,005930.KS,KS->USD
2025-11-06 00:00:00+09:00,,,,,28655689,0.0,0.0,005930.KS,KS->USD
2025-11-07 00:00:00+09:00,,,,,22908083,0.0,0.0,005930.KS,KS->USD
