Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Currency
2025-06-05 00:00:00+08:00,54.0,54.25,53.29999923706055,54.25,130837735,0.0,0.0,1810.HK,USD
2025-06-06 00:00:00+08:00,54.5,54.5,52.79999923706055,53.099998474121094,125424396,0.0,0.0,1810.HK,USD
2025-06-09 00:00:00+08:00,53.70000076293945,54.25,52.849998474121094,54.150001525878906,122376420,0.0,0.0,1810.HK,USD
2025-06-10 00:00:00+08:00,54.70000076293945,54.70000076293945,52.849998474121094,53.45000076293945,115707297,0.0,0.0,1810.HK,USD
2025-06-11 00:00:00+08:00,53.45000076293945,54.79999923706055,53.349998474121094,54.099998474121094,147412093,0.0,0.0,1810.HK,USD
2025-06-12 00:00:00+08:00,53.5,53.95000076293945,52.04999923706055,52.20000076293945,142552461,0.0,0.0,1810.HK,USD
2025-06-13 00:00:00+08:00,51.900001525878906,52.0,50.79999923706055,51.95000076293945,176077650,0.0,0.0,1810.HK,USD
2025-06-16 00:00:00+08:00,51.95000076293945,54.5,51.5,54.150001525878906,220357669,0.0,0.0,1810.HK,USD
2025-06-17 00:00:00+08:00,54.20000076293945,54.5,53.599998474121094,54.0,71275572,0.0,0.0,1810.HK,USD
2025-06-18 00:00:00+08:00,53.75,54.20000076293945,53.45000076293945,53.79999923706055,64270680,0.0,0.0,1810.HK,USD
2025-06-19 00:00:00+08:00,53.599998474121094,54.099998474121094,52.70000076293945,53.04999923706055,92603544,0.0,0.0,1810.HK,USD
2025-06-20 00:00:00+08:00,53.25,54.04999923706055,53.0,54.04999923706055,88197055,0.0,0.0,1810.HK,USD
2025-06-23 00:00:00+08:00,54.0,54.95000076293945,53.150001525878906,54.849998474121094,138863960,0.0,0.0,1810.HK,USD
2025-06-24 00:00:00+08:00,55.20000076293945,57.20000076293945,55.150001525878906,56.900001525878906,222470141,0.0,0.0,1810.HK,USD
2025-06-25 00:00:00+08:00,57.45000076293945,57.45000076293945,56.400001525878906,56.650001525878906,146460085,0.0,0.0,1810.HK,USD
2025-06-26 00:00:00+08:00,57.150001525878906,57.20000076293945,56.04999923706055,56.900001525878906,126954433,0.0,0.0,1810.HK,USD
2025-06-27 00:00:00+08:00,61.45000076293945,61.45000076293945,58.20000076293945,58.95000076293945,481216668,0.0,0.0,1810.HK,USD
2025-06-30 00:00:00+08:00,59.5,60.0,57.5,59.95000076293945,260498936,0.0,0.0,1810.HK,USD
2025-07-02 00:00:00+08:00,60.400001525878906,60.45000076293945,59.599998474121094,60.150001525878906,140611857,0.0,0.0,1810.HK,USD
2025-07-03 00:00:00+08:00,59.75,60.04999923706055,57.04999923706055,58.099998474121094,234219003,0.0,0.0,1810.HK,USD
2025-07-04 00:00:00+08:00,57.5,58.20000076293945,56.599998474121094,57.5,132200659,0.0,0.0,1810.HK,USD
2025-07-07 00:00:00+08:00,56.900001525878906,57.400001525878906,56.400001525878906,57.29999923706055,81234333,0.0,0.0,1810.HK,USD
2025-07-08 00:00:00+08:00,57.400001525878906,58.95000076293945,57.25,58.650001525878906,101372801,0.0,0.0,1810.HK,USD
2025-07-09 00:00:00+08:00,58.20000076293945,58.79999923706055,57.099998474121094,57.400001525878906,100963784,0.0,0.0,1810.HK,USD
2025-07-10 00:00:00+08:00,57.5,57.75,56.70000076293945,56.900001525878906,96327664,0.0,0.0,1810.HK,USD
2025-07-11 00:00:00+08:00,57.5,58.20000076293945,57.25,57.349998474121094,88544316,0.0,0.0,1810.HK,USD
2025-07-14 00:00:00+08:00,57.5,57.79999923706055,56.79999923706055,57.29999923706055,73284998,0.0,0.0,1810.HK,USD
