Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Currency,MA_7,MA_14,MA_30,Price_Change,Price_Change_7,HL_Spread,HL_Spread_Pct,Volatility_7,Volatility_14,Volume_Change,Volume_MA_7,RSI_14,OC_Diff,OC_Diff_Pct,Volume_log,Volume_MA_7_log
0.116,0.2491072902420161,0.2521536797262525,0.2523928431566266,211.640380859375,0.0932996593521954,0.0,0.0,0.0,0.0,209.5586395263672,209.88520050048828,204.34830780029296,0.006155948519583,0.0003295230354198,-0.000239163430374,-1.130046304976975e-06,1.3205461606273403,1.630023114083789,0.0519853658642126,0.0815595069262074,66.33884608799863,211.39127356913295,848.5952914656141,0.08920033388064023,0.07840398748277945
0.12,0.2504529341461422,0.2510866980415495,0.2531791483336237,213.5527801513672,0.0837568005317429,0.0,0.0,0.0,0.0,210.01966421944755,210.3533423287528,204.69626057942708,0.0090360794297705,0.0153436991957065,-0.0020924502920742,-9.798281673463035e-06,2.014123728715985,1.6777339570854704,-0.1022818184622659,0.0833791770994413,65.20328529883982,213.30232721722103,851.6663138502367,0.08043352409338164,0.08008502410074499
0.124,0.2528596354549078,0.2513438186984143,0.2534150836068471,213.3037872314453,0.0848796929737288,0.0,0.0,0.0,0.0,210.8065447126116,210.4750028337751,205.1179214477539,-0.0011659549444656,0.0265076008434073,-0.0020712649084327,-9.710399122849911e-06,2.075452082170448,1.8299787891126515,0.0134065823295188,0.0856130104868625,54.95079541644269,213.0509275959904,842.5659841385935,0.08146909879269085,0.0821448140714077
0.128,0.2514363049736131,0.2520379791436072,0.2548828785333204,212.91531372070312,0.083024771368008,0.0,0.0,0.0,0.0,211.46820504324776,210.48994336809432,205.4861267089844,-0.0018212218160039,0.0222370857899734,-0.0028448993897132,-1.3361647595931424e-05,1.8646968138019488,1.8503363944175732,-0.0218535381165306,0.0866344522666136,50.63443225070709,212.6638774157295,845.7962243680262,0.07975784067325392,0.08308526111765728
0.132,0.2524714397536186,0.2514595103013421,0.2547125016115433,213.03485107421875,0.0719842749006483,0.0,0.0,0.0,0.0,211.9975324358259,210.76954868861608,205.9874710083008,0.0005614314509685,0.0177007574084335,-0.0032529913102011,-1.526976123295375e-05,1.6724147764970578,1.9218383869750977,-0.1329783423121106,0.0846548622977897,65.03440685535048,212.78237963446517,842.7978223680068,0.06951139360505795,0.08126183712341006
0.136,0.2516045218368558,0.2509581671404682,0.2542669183139376,213.2041778564453,0.0673583878549549,0.0,0.0,0.0,0.0,212.5709708077567,211.0569806780134,206.4805150349935,0.0007948313685424,0.0191886156465563,-0.0033087511734694,-1.5519166682077183e-05,1.1586180263784616,1.9662448311185237,-0.0642624663800252,0.0818561014048298,65.32624942756121,212.95257333460845,846.3781643506795,0.06518679957371054,0.07867817842356625
0.14,0.2517985820012066,0.2509067176058325,0.2513312700970973,210.4351501464844,0.0933654748182926,0.0,0.0,0.0,0.0,212.58377729143416,211.0662285940988,206.97256317138672,-0.0129876803437939,0.0004261816093678,-0.0004245524912648,-2.0174979843875752e-06,1.1300632072903969,1.9627407390354572,0.3861001991220401,0.0825241516856529,50.43824717657274,210.1833515644832,834.7280985223182,0.08926053099549663,0.07929549167162792
0.144,0.2488484870997231,0.2477958354090489,0.2472685645704768,208.22393798828125,0.0820459821768647,0.0,0.0,0.0,0.0,212.09571402413505,210.8271767752511,207.32549692789715,-0.0105078080190686,-0.0161426796588681,0.000527270838572,2.5322296930229585e-06,2.004703584320165,2.0958693123028045,-0.1212385270193059,0.0809164835177486,39.35361862702935,207.97508950118151,835.7498650085743,0.0788536769121189,0.07780927713200339
0.148,0.2444362780792089,0.244517824770682,0.2465346717959396,206.7498016357422,0.1495613293649613,0.0,0.0,0.0,0.0,211.12385995047435,210.5717620849609,207.72159322102863,-0.0070795719588303,-0.0318561926976694,-0.0020168470252575,-9.755013109085974e-06,2.706697063080288,2.362605944855176,0.8228964465627977,0.0903171304939226,38.78829110714334,206.50536535766295,844.822900186467,0.1393804168774404,0.08646859933191342
0.152,0.2475157533720695,0.2493255754037123,0.2391169068561088,201.58029174804688,0.1951065913133946,0.0,0.0,0.0,0.0,209.4490748814174,210.1278097970145,207.9141626993815,-0.0250036993834852,-0.0549614971002735,0.0102086685476034,5.06431876800893e-05,4.294386448978769,3.315987764550762,0.3045256560757976,0.106063830256732,33.27977866625071,201.3327759946748,813.4139878039532,0.17823537915738571,0.1008076141443513
0.156,0.2392864789572558,0.2419982418863404,0.2393528010631863,202.5464630126953,0.1388368622639637,0.0,0.0,0.0,0.0,207.9678104945592,209.71800776890345,207.9921864827474,0.0047929847519818,-0.0486994125824571,0.002645440823154,1.30609085135606e-05,4.671237513976039,3.869704736341107,-0.2884050644862445,0.1140369860990114,34.9530135592759,202.30717653373804,845.4601255170651,0.13000744529017888,0.10799034212002423
0.16,0.2378502291873414,0.2387330575254977,0.2399818745308705,202.1181488037109,0.0794413782794762,0.0,0.0,0.0,0.0,206.40828159877236,209.2029070172991,208.0393325805664,-0.0021146466969287,-0.0512437388317491,-0.0012488170053727,-6.178648541777414e-06,4.5174013270124505,4.372662917067808,-0.4278077379158985,0.1151022865817011,30.453516371074898,201.8802985745236,848.7706707884385,0.07644366498634853,0.10894613754909006
0.164,0.2407356881713286,0.2516394961974275,0.2444770895194223,212.4073486328125,0.202875118894776,0.0,0.0,0.0,0.0,206.29444885253903,209.43270983014787,208.4692937215169,0.0509068576473756,-0.0037373996684498,0.0071624066780051,3.3720145390952576e-05,4.323489766589248,4.45569043641651,1.5537713882689408,0.1344618195873898,55.62521843760087,212.1666129446412,881.3259660680009,0.1847146235365936,0.12615837071586816
0.168,0.257879993533636,0.2586711508180435,0.2588800688322869,219.16053771972656,0.1678407595757185,0.0,0.0,0.0,0.0,207.54093279157365,210.0623550415039,209.08252716064453,0.0317935755536795,0.0414635462144437,-0.0002089180142434,-9.532647456387288e-07,6.450712656128252,5.161532286060869,-0.1726892854575653,0.1451011459813078,62.88959830644159,218.90265772619293,848.8547511059281,0.15515653913174776,0.13549297020628984
0.172,0.2604031284733645,0.2717189643725838,0.2623792586545621,228.4437255859375,0.2131808998528458,0.0,0.0,0.0,0.0,210.42947387695312,211.26259395054407,210.0237930297852,0.0423579352505638,0.0971059705863126,0.0093397057180217,4.088405446052952e-05,10.228430361199967,7.133641811799507,0.2701378401274028,0.1638347056493051,69.9173516649038,228.18332245746413,876.2695125638785,0.19324575309876738,0.15172033376959324
0.176,0.269911646194315,0.2702027489595853,0.2699347017783836,226.53909301757807,0.1133104392731439,0.13,0.0,0.0,0.0,213.2565155029297,212.190187726702,210.898915608724,-0.0083374256109429,0.0957161323748267,0.0002680471812017,1.1832270432058052e-06,11.67446941329474,8.216472382721932,-0.4684775261228391,0.1586560070647598,65.39577962897627,226.26918137138372,838.3083300099169,0.10733795458195088,0.14726071880614575
0.18,0.2700282387290076,0.2717985963968968,0.2729655487954443,229.00213623046875,0.1014523343479404,0.0,0.0,0.0,0.0,217.1739218575614,213.31149836948936,211.72034505208333,0.0108724864220215,0.1360343525878817,-0.0011669523985475,-5.095814465997388e-06,11.704182155551525,9.370305890409528,-0.1046514778450251,0.1452768274982663,67.68271701485861,228.73210799173972,847.0673625408806,0.09662961292216107,0.13564637852521122
0.184,0.273992106008901,0.2772038013409109,0.277373978287172,232.6717529296875,0.1287999077432183,0.0,0.0,0.0,0.0,221.477534702846,214.72267259870256,212.57611033121745,0.0160243775871402,0.148732737510721,-0.000170176946261,-7.314035507890731e-07,10.943033633391323,10.699449801544327,0.269560809724563,0.1438429768524456,70.72204289992527,232.3977608236786,848.1914468591618,0.12115503982650135,0.13439362554075135
0.188,0.2778652859767726,0.2773582361794405,0.2779250597809774,232.1233062744141,0.0943337105090413,0.0,0.0,0.0,0.0,225.76398577008928,216.0861336844308,213.26020253499348,-0.0023571690519696,0.1484535537669256,-0.0005668236015369,-2.441907323458644e-06,7.398546043069119,11.6425079365713,-0.2675948906958107,0.1459704528852406,69.84287566496846,231.84544098843733,834.3807329995795,0.09014569451382808,0.13625183513751296
0.192,0.2777875661160567,0.2762771964042971,0.275943863290133,230.9366607666016,0.1022438468775358,0.0,0.0,0.0,0.0,228.41103036063055,217.35273960658483,213.86788635253907,-0.0051121342654393,0.0872347979156813,0.0003333331141641,1.4433962674336935e-06,4.61410512921966,12.253402356538704,0.0838527004377334,0.1315945568827777,68.05151344190911,230.65887320048557,830.3426838914695,0.0973479629110348,0.1236277503265818
