Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Currency,MA_7,MA_14,MA_30,Price_Change,Price_Change_7,HL_Spread,HL_Spread_Pct,Volatility_7,Volatility_14,Volume_Change,Volume_MA_7,RSI_14,OC_Diff,OC_Diff_Pct
0.0,0.237332671851211,0.2391958371502897,0.2398377121082598,203.1141967773437,0.0841474719281686,0.0,0.0,0.0,0.0,,,,,,-0.0006418749579701066,-3.160167866915467e-06,,,,,,202.87686410549247,854.820630143499
0.004,0.2391312150752081,0.239581497580724,0.2371772947478411,200.65396118164065,0.1345258532936803,0.0,0.0,0.0,0.0,,,,-0.012112573294913442,,0.0024042028328828957,1.1981835886641218e-05,,,0.5986915615066435,,,200.41482996656543,838.0956451190776
0.008,0.2342273172978658,0.2374604515520422,0.2378981224898305,201.86915588378903,0.0996225492613413,0.0,0.0,0.0,0.0,,,,0.006056171007002176,,-0.0004376709377882926,-2.1680921776888427e-06,,,-0.25945424747570567,,,201.63492856649117,860.8514621292996
0.012,0.2379796458599371,0.2376532610959029,0.2350673121425575,197.99452209472656,0.1117442998145845,0.0,0.0,0.0,0.0,,,,-0.019193788036112824,,0.002585948953345407,1.30607095892694e-05,,,0.12167677542003097,,,197.75654244886664,830.9809090364654
0.016,0.2322605541019899,0.2314571439189869,0.2336912210297752,198.4128570556641,0.0789607143069583,0.0,0.0,0.0,0.0,,,,0.002112861287836054,,-0.002234077110788296,-1.125973963552943e-05,,,-0.29338038326808147,,,198.1805965015621,853.2684220435353
0.02,0.2331015654584882,0.2323441178339285,0.2315156723484416,195.6737060546875,0.0934337847481195,0.0,0.0,0.0,0.0,,,,-0.01380531000674079,,0.0008284454854869117,4.233810981509059e-06,,,0.18329457336084154,,,195.440604489229,838.4354009155462
0.024,0.229957373423925,0.2301844933266033,0.2326427535403898,197.63592529296875,0.0772646708526326,0.0,0.0,0.0,0.0,199.3363320486886,,,0.010028016936178608,,-0.002458260213786506,-1.2438326737117582e-05,2.626248190283273,,-0.173054253759236,0.09709990631506929,,197.40596791954482,858.4459153463548
0.028,0.2298279755989868,0.2297988410925199,0.2308735180922877,194.86691284179688,0.0692737522356631,0.0,0.0,0.0,0.0,198.15814862932478,,,-0.014010673651904004,-0.040604172757986,-0.001074676999767793,-5.514928030087242e-06,2.4956532308885606,,-0.1034226707858581,0.09497508921613994,,194.63708486619788,846.8816050740863
0.032,0.2281976627361737,0.2287447511274287,0.2306900498766369,195.8032073974609,0.0818199453865948,0.0,0.0,0.0,0.0,197.4651838030134,,,0.004804789802485221,-0.02417472227118722,-0.0019452987492082074,-9.934968763098174e-06,2.3567271249471147,,0.18111034477027732,0.087445673800842,,195.57500973472474,857.0421247514485
0.036,0.2311736758035562,0.2340538592333012,0.2330359464328259,200.20574951171875,0.1804832774029792,0.0,0.0,0.0,0.0,197.22755432128906,,,0.022484525012509637,-0.008240022428329108,0.001017912800475279,5.084333506694307e-06,1.872851318629671,,1.2058591771261336,0.09899720639250457,,199.9745758359152,865.0404296285319
0.04,0.2355600251909499,0.2348251559868912,0.2357881090196474,200.70376586914065,0.1018132640614359,0.0,0.0,0.0,0.0,197.61458914620536,,,0.0024875227541492073,0.013683427934020775,-0.000962953032756203,-4.797882234975356e-06,2.2910211638843645,,-0.435885332278683,0.09757848699919762,,200.4682058439497,851.0281219466077
